No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3},,,,,,,,,
137,23:00 11/11/2019,0.0,-9999.0,-9999.0,576.7159,435.2593,-9999.0,-9999.0,-9999.0,374.6266,,,,,,,,,
138,00:00 12/11/2019,0.0,-9999.0,-9999.0,405.2329,302.6818,-9999.0,-9999.0,-9999.0,262.2134,,,,,,,,,
139,01:00 12/11/2019,0.0,-9999.0,-9999.0,358.3652,286.0206,-9999.0,-9999.0,-9999.0,251.6561,,,,,,,,,
140,02:00 12/11/2019,0.0,-9999.0,-9999.0,381.8633,309.2928,-9999.0,-9999.0,-9999.0,268.3226,,,,,,,,,
141,03:00 12/11/2019,0.0,-9999.0,-9999.0,350.1472,292.1402,-9999.0,-9999.0,-9999.0,254.8811,,,,,,,,,
142,04:00 12/11/2019,0.0,-9999.0,-9999.0,330.3587,274.6387,-9999.0,-9999.0,-9999.0,241.9959,,,,,,,,,
143,05:00 12/11/2019,0.0,-9999.0,-9999.0,302.9321,250.0898,-9999.0,-9999.0,-9999.0,221.0117,,,,,,,,,
144,06:00 12/11/2019,0.0,-9999.0,-9999.0,308.5385,252.2671,-9999.0,-9999.0,-9999.0,222.5694,,,,,,,,,
145,07:00 12/11/2019,0.0,-9999.0,-9999.0,328.6473,268.7877,-9999.0,-9999.0,-9999.0,231.9978,,,,,,,,,
146,08:00 12/11/2019,0.0,-9999.0,-9999.0,256.198,204.2231,-9999.0,-9999.0,-9999.0,171.2339,,,,,,,,,
147,09:00 12/11/2019,0.0,-9999.0,-9999.0,182.851,133.2541,-9999.0,-9999.0,-9999.0,114.6275,,,,,,,,,
148,10:00 12/11/2019,0.0,-9999.0,-9999.0,193.4854,119.1571,-9999.0,-9999.0,-9999.0,102.3145,,,,,,,,,
149,11:00 12/11/2019,0.0,-9999.0,-9999.0,201.0852,140.1967,-9999.0,-9999.0,-9999.0,122.1181,,,,,,,,,
150,12:00 12/11/2019,2.1282,-8995.2699,-8986.224,190.9505,133.3723,-8999.0496,-8997.0222,-8924.6,116.7421,,,,,,,,,
151,13:00 12/11/2019,17.122,40.9582,179.9717,157.576,109.4006,0.1815,16.9405,621.5151,96.2198,,,,,,,,,
152,14:00 12/11/2019,12.9436,39.0004,212.496,124.1714,90.37,0.056,12.8876,477.4053,79.907,,,,,,,,,
153,15:00 12/11/2019,11.729,38.2209,225.1121,103.4702,76.1297,0.0508,11.6782,407.1023,67.2595,,,,,,,,,
154,16:00 12/11/2019,16.114,46.7497,224.1494,136.9651,103.0991,0.2459,15.8681,475.7008,91.7711,,,,,,,,,
155,17:00 12/11/2019,19.3653,79.8622,206.9534,181.8432,130.5761,0.1655,19.1998,599.625,112.0767,,,,,,,,,
156,18:00 12/11/2019,0.0,-9999.0,-9999.0,287.7052,213.9512,-9999.0,-9999.0,-9999.0,188.296,,,,,,,,,
157,19:00 12/11/2019,0.0,-9999.0,-9999.0,388.013,278.9052,-9999.0,-9999.0,-9999.0,242.8897,,,,,,,,,
