STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa},InnerTemp(oC},,,,,
10443,07:00 05/04/2025,4.8892,5.6392,11.9867,23.8425,23.51,0.0,6.2225,2027.0842,1013.9567,27.8,,,,,
10444,08:00 05/04/2025,8.0242,5.5308,7.5517,26.1658,28.4117,0.4658,8.5217,2710.4833,1014.5758,28.4292,,,,,
10445,09:00 05/04/2025,7.6467,5.6417,6.2025,23.2333,28.0808,0.0,8.6133,2654.25,1015.145,28.4592,,,,,
10446,10:00 05/04/2025,8.0042,5.3125,11.1283,40.1467,33.4833,0.1375,8.72,2685.2683,1015.345,26.8842,,,,,
10447,11:00 05/04/2025,7.3133,4.9892,15.75,40.7483,30.87,0.0,8.1583,2805.7533,1015.2192,25.6133,,,,,
10448,12:00 05/04/2025,7.475,4.9892,13.24,39.0967,28.8367,0.0583,8.2575,2809.9125,1014.5558,25.7542,,,,,
10449,13:00 05/04/2025,7.2383,5.4442,14.4,35.1708,25.1325,0.0,8.3042,2827.8133,1013.4383,27.7783,,,,,
10450,14:00 05/04/2025,9.3342,5.8625,10.8433,48.1975,37.4525,0.0,10.02,2848.3817,1012.5067,28.5108,,,,,
10451,15:00 05/04/2025,12.2408,5.8883,8.2625,59.05,45.2433,1.3242,11.3617,2756.8567,1011.7933,28.4425,,,,,
10452,16:00 05/04/2025,17.9,6.565,5.3475,103.8233,66.8733,2.9217,14.975,3124.1292,1011.1983,27.1483,,,,,
10453,17:00 05/04/2025,18.8233,5.1483,5.3375,112.62,63.7808,3.8342,14.9883,3145.2242,1010.78,25.5342,,,,,
10454,18:00 05/04/2025,16.83,5.2925,3.4291,104.6842,58.0192,2.0283,15.185,3422.5158,1010.9492,25.5683,,,,,
10455,19:00 05/04/2025,12.8008,5.66,3.089,88.4592,51.4667,0.0917,13.4358,3392.3383,1011.8508,27.8525,,,,,
