No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Áp su?t khí quy?n(hPa},InnerTemp(oC},,,,,
1570,07:00 08/03/2024,14.8425,2.0283,14.1617,118.8775,62.8225,5.2908,9.5492,2987.3533,1017.005,27.7975,,,,,
1571,08:00 08/03/2024,16.2842,1.85,13.75,126.7667,62.4367,4.695,11.5875,3227.9592,1017.9142,27.5367,,,,,
1572,09:00 08/03/2024,14.8267,2.1225,16.08,128.095,68.44,4.525,10.3,3247.2408,1018.7425,27.425,,,,,
1573,10:00 08/03/2024,14.2725,2.6533,20.2733,126.6675,77.62,4.0,10.2725,3131.145,1018.8783,27.485,,,,,
1574,11:00 08/03/2024,19.3733,5.0308,21.5975,113.9908,76.1575,5.1075,13.9217,2813.4133,1018.7633,28.1342,,,,,
1575,12:00 08/03/2024,20.1875,7.45,19.835,119.1192,79.2383,4.8458,15.3408,3027.8467,1018.0692,28.27,,,,,
1576,13:00 08/03/2024,18.335,7.1158,22.07,129.0717,72.6675,4.6067,13.73,2790.9642,1016.9958,28.2267,,,,,
1577,14:00 08/03/2024,20.1283,5.49,21.985,141.9975,75.2325,4.9725,15.1558,3102.2883,1015.93,28.2883,,,,,
1578,15:00 08/03/2024,21.3817,7.3708,19.92,134.04,76.83,5.3392,16.0425,3125.5642,1015.0,27.6233,,,,,
1579,16:00 08/03/2024,23.9217,10.865,22.14,169.5408,107.7058,5.8558,18.0675,3306.0933,1014.5158,27.3917,,,,,
1580,17:00 08/03/2024,30.2483,12.6508,17.0717,174.3342,110.7242,8.5758,21.67,3590.5617,1014.4425,27.3192,,,,,
1581,18:00 08/03/2024,23.1175,10.5008,21.2325,189.8958,133.34,5.2325,17.8875,3561.0942,1014.7392,27.3133,,,,,
1582,19:00 08/03/2024,17.8618,8.5391,17.5336,217.0109,158.6664,3.0073,14.8545,3203.0873,1014.9264,28.0109,,,,,
1583,20:00 08/03/2024,18.38,6.3708,16.555,235.0675,168.8392,3.4542,14.9258,3278.745,1015.63,28.1825,,,,,
1584,21:00 08/03/2024,11.6758,4.2592,22.6483,232.3433,144.6125,3.295,8.3817,2986.7542,1016.265,28.2775,,,,,
